City,County,Street,HouseCount,Link,Price EUR,Price per m2,Rooms,Area m2,Floor,Total floors,Flat number,House number,Year,Building type,Heating,Installation type,Specials,Extra quarters,Extra equipment,Security,Upload date,Modify date,Memorized count,Views,Telephone,Coordinates
Vilnius, Visoriai,Mykolo Sleževičiaus g.,20,https://www.aruodas.lt/butai-vilniuje-visoriuose-mykolo-slezeviciaus-g-naujas-a-klases-daugiabutis-namas-1-2664807/,62500,1614,2,38.73,3,6,43,14,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/13/2019,8/13/2019,27,1463,37061833732,54.738141 25.255039
Vilnius, Pilaitė,Pilkalnio g.,18,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-nok-nok-home-jauki-anglisku-butu-1-2759673/,85274,1025,3,83.2,1,3,-,-,2019,Mūrinis,Aeroterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,-,-,7/29/2019,8/19/2019,24,7361,37065937360,54.709599  25.16517
Vilnius, Antakalnis,Antakalnio g.,15,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714071/,66800,2399,1,27.84,4,5,10,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/13/2019,8/13/2019,12,670,37061833732,54.704323 25.310023
Vilnius, Pilaitė,Pilkalnio g.,15,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-nok-nok-home-jauki-anglisku-butu-1-2759677/,85381,1025,4,83.3,1,3,28,5,2019,Mūrinis,Aeroterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,-,Videokameros,7/29/2019,8/19/2019,11,3519,37065937360,54.709599  25.16517
Vilnius, Šnipiškės,Lvovo g.,13,https://www.aruodas.lt/butai-vilniuje-snipiskese-lvovo-g-demesio-s-m-rugpjucio-22-d-1-2746211/,96870,2035,2,47.61,3,9,-,-,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/1/2019,8/19/2019,18,2097,37065244980,54.699883 25.270664
Vilnius, Viršuliškės,Viršuliškių g.,11,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-g--isskirtines-isigyjimo-salygos-pirmiesiems-1-2737479/,52600,1773,1,29.66,1,11,13,38,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Terasa,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/11/2019,8/19/2019,14,9564,37060089188,54.707524 25.225379
Vilnius, Pašilaičiai,Budiniškių g.,11,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-budiniskiu-g--butai-su-pilnos-apdailos-galimybe-1-2744855/,39900,1611,1,24.77,2,5,13,K11,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/28/2019,8/19/2019,22,10440,37060089188,-
Vilnius, Bajorai,Bajorų kel.,11,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-bajoru-lajos-tai-a-energines-klases-butu-1-2761541/,49400,1695,1,29.14,2,9,15,V1,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/31/2019,8/19/2019,8,1200,37060089188,-
Vilnius, Pašilaičiai,Eitminų g.,10,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-eitminu-g-daugiabutis-jau-priduotas-akcija-siam-1-2483631/,59000,1138,2,51.83,1,9,3,19,2017,Mūrinis,"Elektra, centrinis kolektorinis",Neįrengtas,-,-,-,-,5/16/2018,8/19/2019,11,4525,37068266444,-
Vilnius, Visoriai,Mykolo Sleževičiaus g.,10,https://www.aruodas.lt/butai-vilniuje-visoriuose-mykolo-slezeviciaus-g-naujas-a-plius-klases-daugiabutis-namas-1-2664895/,50900,1661,1,30.64,2,6,7,14,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija,Terasa,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/13/2019,8/13/2019,10,553,37061833732,54.738141 25.255039
